,record_num,id,latitude,longitude,occupancy_status,current_status,bikes_allowed,headsign,bearing,current_stop_sequence,updated_at
981,982,y3204,42.34047904,-71.08153811,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,323.0,10,2024-07-25 12:18:02-04:00
982,983,y3202,42.37279845,-71.11907423,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,198.0,2,2024-07-25 12:17:59-04:00
983,984,y1834,42.37033512,-71.11316002,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,0.0,22,2024-07-25 12:17:21-04:00
984,985,y3286,42.37152755,-71.11741067,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,106.0,2,2024-07-25 12:18:12-04:00
985,986,y3272,42.33522889,-71.07541246,FULL,IN_TRANSIT_TO,1,Nubian,0.0,18,2024-07-25 12:18:00-04:00
986,987,y3264,42.34412658,-71.08623141,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Nubian,152.0,13,2024-07-25 12:18:07-04:00
987,988,y3263,42.3394863,-71.08055085,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,317.0,9,2024-07-25 12:18:14-04:00
988,989,y3237,42.33595,-71.07625,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,315.0,8,2024-07-25 12:17:44-04:00
989,990,y3204,42.3405039,-71.08159092,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,0.0,10,2024-07-25 12:18:09-04:00
990,991,y3202,42.37275562,-71.1190509,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,190.0,2,2024-07-25 12:18:11-04:00
991,992,y1834,42.37033512,-71.11316002,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,0.0,22,2024-07-25 12:17:21-04:00
992,993,y3286,42.37152755,-71.11741067,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,106.0,2,2024-07-25 12:18:12-04:00
993,994,y3272,42.33522889,-71.07541246,FULL,IN_TRANSIT_TO,1,Nubian,0.0,18,2024-07-25 12:18:00-04:00
994,995,y3264,42.34386097,-71.08602468,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,0.0,14,2024-07-25 12:18:22-04:00
995,996,y3263,42.33958365,-71.08062852,FEW_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,0.0,9,2024-07-25 12:18:19-04:00
996,997,y3237,42.33595,-71.07625,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,315.0,8,2024-07-25 12:17:44-04:00
997,998,y3204,42.34049835,-71.08164862,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Harvard,0.0,10,2024-07-25 12:18:22-04:00
998,999,y3202,42.37266623,-71.11904176,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,1,Nubian,199.0,2,2024-07-25 12:18:22-04:00
999,1000,y1834,42.37033512,-71.11316002,MANY_SEATS_AVAILABLE,STOPPED_AT,1,Harvard,0.0,22,2024-07-25 12:17:21-04:00
